Name,state,Stars,Valoracion
Tio Flores,Pensilvania,2,Malo
Jimmy Hula's,Florida,3,Muy bueno
Taco Bell,Missouri,1,Malo
Chuy's,Tennessee,2,Malo
GUAC Tequila & Tacos,Florida,2,Muy bueno
Corazon Cocina,California,5,Muy bueno
Zeppelin,Nevada,3,Muy bueno
Nada,Indiana,5,Muy bueno
Pueblo Lindo,Idaho,5,Muy bueno
Que Pasa Mexican Cantina,Florida,1,Malo
Buena Onda,Pensilvania,1,Muy bueno
Loco Mexican Restaurant & Cantina,Indiana,5,Muy bueno
Taqueria Don Quezadillas Belinda,Indiana,5,Muy bueno
El Taco Tote,Arizona,2,Malo
Agave House,Luisiana,2,Muy bueno
Super Burrito,Nevada,5,Muy bueno
Bartaco,Tennessee,5,Muy bueno
Bakersfield,Indiana,2,Muy bueno
Skyline Chili,Indiana,4,Muy bueno
Tacos And Beer,Luisiana,5,Muy bueno
Moe's Southwest Grill,Nueva Jersey,1,Malo
Chuy's,Tennessee,5,Muy bueno
Margaritas Mexican Restaurant,Pensilvania,5,Muy bueno
Diana's Bakery,Missouri,5,Muy bueno
Chile Burrito,Tennessee,3,Malo
Chili's,Tennessee,4,Muy bueno
Zim Zari,Florida,5,Muy bueno
Oaxaca Fresh,California,5,Muy bueno
Saint Anejo,Tennessee,5,Muy bueno
Rocco's Tacos and Tequila Bar - Tampa,Florida,4,Muy bueno
Uncle Julio's,Tennessee,1,Malo
Lolis Mexican Cravings,Florida,5,Muy bueno
QDOBA Mexican Eats,Indiana,2,Malo
Bartaco,Tennessee,5,Muy bueno
Super Burrito,Nevada,2,Muy bueno
Lolis Mexican Cravings,Florida,5,Muy bueno
Chili's,Tennessee,1,Muy bueno
La Fiesta Mexican Resturant,Missouri,1,Malo
Puerto Vallarta Mexican Restaurant & Cantina,Indiana,4,Muy bueno
El Charro Cafe,Arizona,2,Muy bueno
Currito,Pensilvania,1,Muy bueno
Tequila's,Tennessee,5,Muy bueno
El Torito,Missouri,5,Muy bueno
El Cisne Restaurant,Arizona,5,Muy bueno
Nada,Tennessee,4,Muy bueno
The Tequila House,Luisiana,1,Malo
Rey Azteca,Pensilvania,3,Malo
Hopsmith Tavern,Tennessee,2,Muy bueno
Chipotle Mexican Grill,Tennessee,5,Muy bueno
Distrito,Pensilvania,5,Muy bueno
Deanie's Sea Food Kitchen,Luisiana,2,Malo
Bakersfield,Indiana,1,Muy bueno
Spotted Donkey Cantina,Florida,1,Malo
Uncle Julio's,Tennessee,3,Muy bueno
Tequila Sunrise,Indiana,5,Muy bueno
The Rum House,Luisiana,5,Muy bueno
Anita Street Market,Arizona,5,Muy bueno
Amigos Tortilla Bar,Florida,5,Muy bueno
Taco Bell,Idaho,1,Muy bueno
Taco Bell,Arizona,5,Muy bueno
Taco Bell,Nevada,1,Muy bueno
"BLT's - Breakfast, Lunch and Tacos",Missouri,1,Malo
Zeppelin,Nevada,3,Muy bueno
Bongos 88 Food Fun and Spirits,Luisiana,2,Malo
